system:index,Feature,M,Y,precipitation,.geo
14,,3.0,2003.0,21.327833082697236,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,4.0,2003.0,43.11764108833687,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,,5.0,2003.0,73.74671012441854,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,,6.0,2003.0,92.09718876181708,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,,7.0,2003.0,91.15369921812052,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,,8.0,2003.0,91.38637540334726,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,,9.0,2003.0,41.04500481301069,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,,10.0,2003.0,111.60808615268587,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,,11.0,2003.0,114.03094128549994,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,,12.0,2003.0,51.087243752357864,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,,1.0,2004.0,45.78565937150194,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,,2.0,2004.0,55.56438487372929,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,,3.0,2004.0,48.888223920245615,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,,4.0,2004.0,45.26227795171303,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,,5.0,2004.0,84.04858572108162,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,,6.0,2004.0,76.36822150330853,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,,7.0,2004.0,92.5080584272083,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,,8.0,2004.0,81.07073116155419,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,,9.0,2004.0,66.03789724671967,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,,10.0,2004.0,104.72327847400103,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,,11.0,2004.0,51.52387079062285,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,,12.0,2004.0,27.26311856022136,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,,1.0,2005.0,39.595486717032045,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,,2.0,2005.0,27.82532022955038,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,,3.0,2005.0,22.629788240022876,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,,4.0,2005.0,58.92482795646197,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,,5.0,2005.0,79.48143759581569,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,,6.0,2005.0,51.61868967243422,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,,7.0,2005.0,119.80086358186058,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,,8.0,2005.0,132.20465867428263,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,,9.0,2005.0,71.65226279581842,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,,10.0,2005.0,87.08271915698684,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,,11.0,2005.0,51.2980664920506,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,,12.0,2005.0,39.08147489242409,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,,1.0,2006.0,32.32436233891519,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,,2.0,2006.0,42.871301100029314,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,,3.0,2006.0,41.73814239742383,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,,4.0,2006.0,57.636925931939615,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,,5.0,2006.0,90.2537876889008,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,,6.0,2006.0,86.11655100179517,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,,7.0,2006.0,106.33089227299402,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,,8.0,2006.0,158.33432877928897,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,,9.0,2006.0,78.21527642377076,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,,10.0,2006.0,57.60519130680939,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,,11.0,2006.0,38.223517964880905,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,,12.0,2006.0,40.46951875158544,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,,1.0,2007.0,42.02373124759087,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,,2.0,2007.0,49.7180230890257,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,,3.0,2007.0,69.24608883528792,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,,4.0,2007.0,22.17217948553946,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,,5.0,2007.0,119.15927231123122,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,,6.0,2007.0,107.20315211064282,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,,7.0,2007.0,96.44621294269167,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,,8.0,2007.0,148.22994186330195,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,,9.0,2007.0,92.43113265688767,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,,10.0,2007.0,52.62098587513349,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,,11.0,2007.0,80.29474188665085,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,,12.0,2007.0,36.078882227128005,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,,1.0,2008.0,60.46487620549862,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,,2.0,2008.0,26.684784547656083,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,,3.0,2008.0,55.20827145646619,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,,4.0,2008.0,79.28444144803615,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,,5.0,2008.0,107.20550818468756,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,,6.0,2008.0,110.41787480769085,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,,7.0,2008.0,143.98040058089762,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,,8.0,2008.0,91.10613944207593,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,,9.0,2008.0,87.06990242993845,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,,10.0,2008.0,76.54707846079963,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,,11.0,2008.0,111.48130899481565,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,,12.0,2008.0,96.12974291541441,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,,1.0,2009.0,60.64728855972604,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,,2.0,2009.0,54.645007093350145,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,,3.0,2009.0,64.35801834308168,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,,4.0,2009.0,71.55800005921374,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,,5.0,2009.0,66.11511591090809,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,,6.0,2009.0,89.54928275097974,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,,7.0,2009.0,120.47677921787418,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,,8.0,2009.0,89.34866369877682,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,,9.0,2009.0,80.18637837934072,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,,10.0,2009.0,53.97112069328607,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,,11.0,2009.0,74.28834681913138,"{""type"":""MultiPoint"",""coordinates"":[]}"
