system:index,Feature,M,NDVI,Y,.geo
14,,3.0,0.2841310612221954,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,,4.0,0.37897713182062853,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,,5.0,0.5764087404194344,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,,6.0,0.6648632124810425,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,,7.0,0.6773310542086922,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,,8.0,0.6320557462891391,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,,9.0,0.5658217281227165,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,,10.0,0.4533480159682055,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,,11.0,0.33397196774263643,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,,12.0,0.26140930832987325,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,,1.0,0.1393335980793503,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,,2.0,0.18006613141800987,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,,3.0,0.2124446204340797,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,,4.0,0.33271893893390736,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,,5.0,0.4883085448441614,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,,6.0,0.6148174598206583,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,,7.0,0.6693369203406488,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,,8.0,0.6723451639163842,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,,9.0,0.6196107196434077,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,,10.0,0.5042318875221463,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,,11.0,0.3985501625544058,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,,12.0,0.26653261258773275,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,,1.0,0.2231380711575892,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,,2.0,0.20884643838222067,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,,3.0,0.29931925351572797,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,,4.0,0.39178630106727946,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
